,conteudo
0,ns pet cc queremos interesse alunos seguinte curso ministrado durante recesso ano resoluo problemas matemtica computao lgica conjuntos induo fraca induo forte recorrncia complexidade teorema mestre prrequisitos cursado dimmc i imdfmc i entem caso interesse sintamse vontade sugerir cursos
1,der pra participar outrolinux git interesse porm prioridade pra mim linuxgit
2,interesse
3,interesse
4,interesse formato ead
5,up interesse
6,interesse
7,interesse
8,interesse formato ead tambm chances participar
9,interesse
10,interesse
11,interesse
12,ns pet cc gostaramos interesse alunos curso linux git ministrado durante recesso ano entem caso interesse sintamse vontade sugerir assuntos
13,formato ead presencial interesse
14,interesse
15,interesse
16,up
17,interesse
18,interesse
19,interesse
20,interesse
21,interesse formato ead
22,up
23,interesse
24,interesse
25,interesse
26,up
27,interesse
28,interesse
29,interesse principalmente ead
30,interesse
31,interesse
32,up
33,interesse
34,interesse
35,up
36,interesse
37,interesse
38,up
39,interesse
40,interesse
41,ol pessoal coordenao bti est estudando possibilidade ofertar turmas sbado algum interessa
42,principalmente turmas noite indeferimentos
43,indeferidas disciplinas pes s abrem perodos matutino eou vespertino
44,
45,tambm interesse timo
46,
47,excelente
48,
49,
50,
51,
52,interesse especialmente banco dados
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,interesse
67,
68,
69,
70,
71,
72,
73,dependendo disciplina
74,
75,
76,
77,
78,
79,
80,
81,
82,dependendo matria
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,timo
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,up
103,
104,
105,
106,
107,
108,
109,ajudaria trabalha nao colocar turmas turnos nao noite
110,up
111,interesse
112,algum abriu alguma turma sbado rematrcula
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,up
125,
126,
127,
128,
129,
130,indeferidas disciplinas pes s abrem perodos matutino eou vespertino
131,
132,
133,
134,
135,interrese
136,up
137,
