,titulo
0,curso férias pet resolução problema matemático computação
12,curso férias Linux git
41,possibilidade turma bti sábado
138,maratona feminino programação
141,contratação substituto turma banco dar
146,atendimento Secretaria bti semana
150,aproveitamento disciplina
156,comunidade bcc discord criar pelospara aluno professor tolerar
157,solicitação dispensar turma período proficiênciar
167,edb professor
183,inscrição update
191,cadê arcondicionar sala estudo
209,edital eleiçãor representante discente junto colegiar bcc
210,seletivo esports aaa tirano
220,formando
232,edital abrir estágio trern
234,cartilha estágio
240,alguém realizar permuta
241,vagar estágio
244,seleção monitor disciplina aprendizar profur
246,hoje domingo time Ufrn latinoamericano maratonar programação guadalajara
252,disciplina imd análiser rede
259,vagar emprego analista sistema web
260,matrícula extraordinário
261,alguém desejar trocar turno
266,seleção voluntário projeto inclusão digital idoso
274,seleção monitor língua inglês
275,inscrição projeto meg menino engenhario
276,horário atendimento presencial coordenação bti
282,portal disciplina imd índice aprovação reprovação disciplina
289,seleção monitorio fmc
291,seleção monitorio fmc fmc
295,bolsa portal disciplina imd
296,urgente turma aberta hoje
308,seleção bolsista projeto Extensão atuar economia negócio impacto socioamb
309,confirmação vínculo aluno ingressante
311,seleção monitorio matemático elementar bolsa remunerar
312,inscrição deferir reingresso ciclo bcc Bes
316,coordenação bcc apresentação coordenação bcc
317,possivel troca turmo
324,indeferimento rematrícula
359,matricular materia optativo
362,disciplina Extensionista prérequisito pro negócio impacto socioambiental
364,estágio natal safety
369,vago bolso
370,vagar emprego
371,imd etica dar
388,processo seletivo residente tecnologia informação Ministério Público
389,divulgação vago estágio
390,interessar poder bora pagar
409,processo seletivo estágio mprn
411,estrutura dar básica
417,turmar aluno
430,imd processo software
437,disciplina tópico Resumão
439,imd ciência dado optativo
445,dia inscrição mestrar engenharia mecatrônico
446,turma pes produção jogo digital ofertar
448,imd tópico especial produção jogo digital
456,turma
462,fmc
463,ementar prérequisito imd tópico especial Internet coisa
464,probabilidade inferência equivalente probabilidade
487,turma edb ofertar código dim
490,matricial equivalente vga
493,cadê estrutura dar básica edb
496,oferto disciplina período
499,matéria pes empreendedorismo eletivo
503,Banco dar marianne batisto diniz silvar hora
509,rede ead
513,corequisito
515,último semana inscrição mestrar engenharia mecatrônico
516,turma infraestrutura web
546,aproveitar banco dar
549,vagar estagiário dar
551,turma est substituir est
553,professor turmar férias edb
557,grade
569,vetor geometr analítico
571,grade
573,ementar turmo imd tópico
574,alguém querer mudar turno
578,seleção aluno regular mestrado ppgemeca semestre inscrição Janeiro
579,turma fundamento bioquímica biologia molecular
587,dim Banco dar
595,vaga estágioemprego aluno imd
596,turma segurança semestre
637,iea
652,edital processo seletivo aluno regular mestrado ppgemeca semestre
653,reingresso ciclo bcc Bes
657,interesse turma computação prof selan
681,horário Secretaria durante recesso finalinício ano
682,eleição coordenação bcc
687,solicitação mudanço ênfaseestrutura curricular
697,palestrar imd
699,previsão turmo férias
702,formando
704,campanha doação sangue ieee class
708,solicitação dispensar proficiência
746,aproveitar ponente curricular
747,dicar consultar situação turma féria
752,vagar iniciação científico
753,solicitação prorrogação prazo conclusão
760,coordenação bti
765,semana porto aberto bioinformático
766,solicitação turma ver encerrar
790,visitar imd
793,minicurso semana porto aberto bioinformático
797,reunião mensal coordenaçãoaluno
808,turma féria
838,Open house dimap semana sábado
843,seminário pesquisa introdução compressão arquivo
847,permuta turno integral noturno
850,publicação artigo marte rpg
851,alguém pagar samyr turma tirar dúvida
852,seleção estagiário pósgraduação remunerar tjrn
853,edital processo seletivo mestrar engenharia mecatrônica semestre
854,processo eleitoral representação discente resultado
855,votação processo eleitoral representação discente colegiar bti
856,processo eleitoral representação discente candidatura acatar homologar
857,processo eleitoral representação discente candidatura acatar
859,processo eleitoral representação discente colegiar bacharelar tecnologia informaç
860,oferta estágio
861,permuta turno
866,edital processo seletivo programa estágio trern
867,aluno vga percar atendimento monitor
868,caern estágio tecnologia informação tirol natalrnr
873,profusion estágio ver
876,solicitação permuta turno
877,psicologia
880,auxílio transporte
882,edital processo eleitoral representação discente colegiar bti
883,feedback monitoria fmcn
888,expediente secretaria bti dia
889,super estágio vaga abrir
890,vagar desenvolvedora phplaravel
892,vagar desenvolvedora angularnestjs
893,professor sistema operacional
899,ajudeno identificar obstáculo enfrentar graduação ufrn
900,ieee day
904,resultado eleição daal
907,seminário pesquisa
908,apelo público bancar federal
914,processo seletivo petccufrn
921,aberto inscrição epogame
924,votação daal abrir hoje sigeleição
929,semano computação
933,interessar poder
943,processo seletivo Women Engineering Wie ufrn
948,linkr gravação debate realizar eleição daal
950,convite participação pesquisa atuaçãor mulher ufrn
956,debate daal link meet
957,debate daal link meet
958,debate eleição daal dia
962,nota esclarecimento eleiçãor daal
964,turma sistema operacional professor
972,cadastro reservar monitor proeidi inclusão digital idoso
973,permuta turno integral noturno
974,turma edb
977,divulgação edital paxfapern oportunidade bolso pesquisa
978,aberturar turma edb interessar poder
1005,eleição gestão diretório acadêmico lovelace
1007,estudo encontro arquivo preencher informação
1009,turma edb
1012,oportunidade bolso projeto doama amanhã
