,titulo
0,curso férias pet cc resolução problemas matemática computação
12,cursos férias linux git
41,possibilidade turmas bti sábados
138,maratona feminina programação
141,contratação substituto turma banco dados t
146,atendimento secretaria bti semana
150,aproveitamento disciplinas
156,comunidade bcc discord criada pelospara alunos professores tolerados
157,solicitações dispensa turma º período proficiência
167,edb i n professor
183,inscrições update
191,cadê arcondicionado sala estudos b
209,edital eleição representantes discentes junto colegiado bcc
210,seletiva esports aaa tirana
220,formandos
232,edital aberto estágio trern
234,cartilha estágio
240,alguém realizar permuta n mt
241,vaga estágio
244,seleção monitores disciplina aprendizado profundo
246,hoje domingo h time ufrn latinoamericana maratona programação guadalajara
252,disciplina imd análise redes t
259,vaga emprego analista sistemas web
260,matrícula extraordinária
261,alguém deseja trocar turno n mt
266,seleção voluntários projeto inclusão digital idosos
274,seleção monitores língua inglesa
275,inscrições projeto meg meninas engenharias
276,horário atendimentos presenciais coordenação bti
282,portal disciplinas imd índices aprovação reprovação disciplinas
289,seleção monitoria ge fmc
291,seleção monitoria fmc fmc
295,bolsas portal disciplinas imd
296,urgente turmas abertas hoje
308,seleção bolsistas projeto extensão atuará economia negócios impacto socioamb
309,confirmação vínculo alunos ingressantes
311,seleção monitoria matemática elementar bolsas remuneradas
312,inscrições deferidas reingresso º ciclo bcc bes
316,coordenação bcc apresentação coordenação bcc
317,possivel troca turma
324,indeferimentos rematrícula
359,matricular materias optativas
362,disciplina extensionista h prérequisito pro negócios impacto socioambiental
364,estágio natal safety
369,vaga bolsa
370,vaga emprego
371,imd etica dados n
388,processo seletivo residente tecnologia informação ministério público rn
389,divulgação vaga estágio
390,interessar possa bora pagar
409,processo seletivo estágio mprn
411,estrutura dados básicas ii
417,turma p alunos n
430,imd processos software
437,disciplinas tópicos resumão
439,imd ciências dados optativa
445,dia inscrição mestrado engenharia mecatrônica
446,turmas pes produção jogos digitais ofertadas
448,imd tópicos especiais produção jogos digitais
456,turmas ge
462,fmc
463,ementa prérequisito imd tópicos especiais internet coisas c
464,probabilidade inferência equivalente probabilidade
487,turmas edb lp ofertadas código dim
490,matricial equivalente vga
493,cadê estrutura dados básicas ii edb ii
496,ofertas disciplinas período
499,matérias pes empreendedorismo eletivas
